Város	Cím	Született	Fizetés	Jutalom	Neme
Alsófalva	Ezmi u. 9	1984.11.11	220 554 Ft	15 000 Ft	férfi
Velence	Colos u.1	1987.07.08	98 381 Ft	48 000 Ft	nő
Bélapátfalva	Bili u. 17	1987.11.12	65 384 Ft	36 000 Ft	férfi
Kocsord	Objektum u. 1	1961.11.11	307 855 Ft	36 000 Ft	férfi
Demjén	Csatorna u. 1	1978.12.01	212 096 Ft	19 000 Ft	nő
Polgárfalva	Polgár u. 15	1987.04.14	264 165 Ft	27 000 Ft	férfi
Cigányda	Roma u.11	1987.07.08	137 158 Ft	46 000 Ft	férfi
Szada	Lenin u. 15.	1945.04.06	193 363 Ft	46 000 Ft	nő
Kocsord	Nemtom u. 30	1960.11.23	184 545 Ft	23 000 Ft	férfi
Ózd	Wájtháusz u. 1	1954.07.07	285 206 Ft	11 000 Ft	férfi
Tiszakécske	Fürdő utca 15.	1980.10.18	78 778 Ft	44 000 Ft	férfi
Szigetszentmiklós	Ady u.96.	1952.08.29	149 721 Ft	48 000 Ft	férfi
Szigetszentmiklós	Vénusz u.1.	1958.06.24	281 336 Ft	18 000 Ft	nő
Bög	Pici köz 5.	1970.05.23	171 701 Ft	4 000 Ft	férfi
Szolnok	Som köz 48.	1979.11.30	144 949 Ft	22 000 Ft	nő
Szeged	Teve köz 45.	1945.05.25	213 615 Ft	42 000 Ft	férfi
Mezőhegyes	Béke u.16.	1970.02.23	182 674 Ft	38 000 Ft	nő
Tiszakécska	Szabolcskai u.1	1956.10.20	211 794 Ft	33 000 Ft	férfi
Kecskemét	Kossuth L. u.14.	1963.02.13	294 523 Ft	5 000 Ft	férfi
Pécs	Szabó köz 20.	1985.12.23	82 454 Ft	15 000 Ft	nő
Eger	Dobó utca 10.	1938.03.03	253 524 Ft	27 000 Ft	nő
Budapest	Kossuth utca 23.	1978.01.01	324 666 Ft	49 000 Ft	férfi
Kecskemét	Ó utca 3.	1966.04.12	309 611 Ft	46 000 Ft	férfi
Győr	Körte utca. 23.	1980.09.24	57 443 Ft	7 000 Ft	férfi
Pécs	Könyv utca 34.	1977.11.13	315 764 Ft	4 000 Ft	férfi
Mosonmagyaróvár	Kölcsey utca 182.	1945.12.23	184 889 Ft	34 000 Ft	nő
Szeged	Posztógyár utca 12.	1981.12.31	61 167 Ft	23 000 Ft	nő
Budapest	Zrínyi utca 112.	1978.12.12	287 247 Ft	9 000 Ft	nő
Szombathely	Alma utca 11.	1979.02.09	325 358 Ft	21 000 Ft	nő
Debrecen	Petőfi utca 33.	1955.01.31	212 158 Ft	10 000 Ft	férfi
Budapest	Erdőalja út 8.	1966.05.04	274 781 Ft	31 000 Ft	nő
Budapest	Kossuth u. 78.	1970.07.09	296 289 Ft	12 000 Ft	nő
Szeged	Agár u. 1.	1982.12.09	325 866 Ft	38 000 Ft	nő
Vecsés	Gyöngy u. 6.	1973.03.06	96 106 Ft	48 000 Ft	férfi
Cegléd	Cegléd u. 78.	1956.10.23	226 231 Ft	24 000 Ft	férfi
Dég	Galambóc köz 96.	1969.05.08	184 629 Ft	16 000 Ft	nő
Tököl	Repülő út 9.	1985.12.09	205 444 Ft	39 000 Ft	férfi
Budapest	Cservenka u. 12.	1968.07.09	338 631 Ft	11 000 Ft	férfi
Szigliget	Kölcsey u. 37.	1976.03.05	61 443 Ft	10 000 Ft	férfi
Pécs	Fülemile köz 56.	1980.06.08	297 254 Ft	31 000 Ft	férfi
